Join	O  
our	O  
infrastructure	O  
platform	O  
team	O  
as	O  
we	O  
expand	O  
our	O  
hybrid	B-SKILL  
cloud	I-SKILL  
strategy	O  
.	O  
The	O  
Cloud	B-SKILL  
Engineer	I-SKILL  
will	O  
be	O  
instrumental	O  
in	O  
designing	O  
and	O  
automating	B-SKILL  
cloud	I-SKILL  
infrastructure	O  
using	O  
Terraform	B-SKILL  
,	O  
AWS	B-SKILL  
CloudFormation	I-SKILL  
,	O  
and	O  
Pulumi	B-SKILL  
.	O  
Experience	O  
with	O  
multi-cloud	B-SKILL  
orchestration	I-SKILL  
tools	O  
like	O  
Crossplane	B-SKILL  
is	O  
a	O  
plus	O  
.	O  
Our	O  
stack	O  
runs	O  
on	O  
AWS	B-SKILL  
and	O  
Azure	B-SKILL  
,	O  
with	O  
services	O  
hosted	O  
using	O  
EKS	B-SKILL  
,	O  
AKS	B-SKILL  
,	O  
and	O  
GKE	B-SKILL  
for	O  
container	B-SKILL  
workloads	I-SKILL  
.	O  
Strong	O  
hands-on	O  
experience	O  
with	O  
Kubernetes	B-SKILL  
,	O  
Helm	B-SKILL  
,	O  
and	O  
Istio	B-SKILL  
is	O  
essential	O  
for	O  
service	B-SKILL  
mesh	I-SKILL  
and	O  
deployment	B-SKILL  
automation	I-SKILL  
.	O  
Monitoring	B-SKILL  
and	I-SKILL  
observability	I-SKILL  
are	O  
managed	O  
through	O  
Prometheus	B-SKILL  
,	O  
Grafana	B-SKILL  
,	O  
and	O  
Datadog	B-SKILL  
integrations	O  
.	O  
You	O  
will	O  
collaborate	O  
with	O  
DevOps	B-SKILL  
and	O  
SecOps	B-SKILL  
teams	O  
to	O  
ensure	O  
compliance	O  
,	O  
security	B-SKILL  
automation	I-SKILL  
,	O  
and	O  
policy	B-SKILL  
enforcement	I-SKILL  
through	O  
OPA	B-SKILL  
and	O  
Azure	B-SKILL  
Policy	I-SKILL  
.	O  
We	O  
leverage	O  
CI/CD	B-SKILL  
pipelines	I-SKILL  
via	O  
GitHub	B-SKILL  
Actions	I-SKILL  
,	O  
ArgoCD	B-SKILL  
,	O  
and	O  
FluxCD	B-SKILL  
for	O  
progressive	B-SKILL  
delivery	I-SKILL  
.	O  
This	O  
role	O  
demands	O  
strong	O  
proficiency	O  
in	O  
infrastructure	B-SKILL  
as	I-SKILL  
code	I-SKILL  
and	O  
container	B-SKILL  
orchestration	I-SKILL  
.	O  
Experience	O  
with	O  
serverless	B-SKILL  
architectures	O  
like	O  
AWS	B-SKILL  
Lambda	I-SKILL  
,	O  
Azure	B-SKILL  
Functions	I-SKILL  
,	O  
and	O  
GCP	B-SKILL  
Cloud	I-SKILL  
Run	I-SKILL  
is	O  
highly	O  
preferred	O  
.	O  
You	O  
should	O  
also	O  
have	O  
exposure	O  
to	O  
infrastructure	O  
cost	B-SKILL  
optimization	I-SKILL  
using	O  
tools	O  
like	O  
CloudHealth	B-SKILL  
or	O  
Spot.io	B-SKILL  
.	O  
The	O  
ideal	O  
candidate	O  
has	O  
experience	O  
managing	B-SKILL  
identity	I-SKILL  
and	O  
access	B-SKILL  
controls	I-SKILL  
via	O  
IAM	B-SKILL  
,	O  
Azure	B-SKILL  
AD	I-SKILL  
,	O  
and	O  
Okta	B-SKILL  
.	O  
Knowledge	O  
of	O  
bastion	B-SKILL  
host	I-SKILL  
setup	O  
,	O  
networking	B-SKILL  
on	I-SKILL  
VPCs	I-SKILL  
,	O  
NAT	B-SKILL  
gateways	I-SKILL  
,	O  
and	O  
firewall	B-SKILL  
rules	I-SKILL  
is	O  
required	O  
.	O  
We	O  
store	O  
secrets	B-SKILL  
in	I-SKILL  
Vault	B-SKILL  
